event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words,event_text,ORE_DEPOSIT,ROCK,MINERAL,STRAT,LOCATION,TIMESCALE,event_label
a072171_2005 everlasting annual rpt_12941703_1,a072171_2005 everlasting annual rpt_12941703.json,1,a detailed report titled potential of the norseman project 2002 identifies most significant targets.,1,['potential'],"the norseman project has significant exploration upside. a detailed report titled potential of the norseman project 2002 identifies most significant targets. the powerpoint, norseman exploration eoy 2004 also provides an illustrative overview.",[],[],[],[],"['norseman', 'norseman', 'norseman']",[],0
a072171_2005 everlasting annual rpt_12941703_3,a072171_2005 everlasting annual rpt_12941703.json,3,better definition of soil anomalies is required and an mmi survey has been recommended in order to address all the various styles of mineralisation and various previously unrecognised structural trends.,1,['mineralisation'],"a detailed report titled potential of the norseman project 2002 identifies most significant targets. the powerpoint, norseman exploration eoy 2004 also provides an illustrative overview. better definition of soil anomalies is required and an mmi survey has been recommended in order to address all the various styles of mineralisation and various previously unrecognised structural trends. regional geological setting .",[],[],[],[],"['norseman', 'norseman']",[],0
a072171_2005 everlasting annual rpt_12941703_6,a072171_2005 everlasting annual rpt_12941703.json,6,exploration potential and recommendations.,1,['potential'],regional geological setting . exploration completed in 2005. exploration potential and recommendations. 11 2005 everlasting technical report 3 list of tables table 1 tenement schedule table 2 exploration completed in 2005 list of figures figure 1 everlasting project location plan figure 2 everlasting index map list of appendices appendix 1 maynard report appendix 2 rsg report 2005 everlasting technical report 4 1.,[],[],[],[],[],[],0
a072171_2005 everlasting annual rpt_12941703_11,a072171_2005 everlasting annual rpt_12941703.json,11,croesus have recently developed and mined by open cut methods part of the daisy and gladstone mineralisation.,1,['mineralisation'],"the everlasting project covers an area of 436 hectares (table 1) is located about 8 kilometres northeast of norseman, and about 25 kilometres northeast of mt. the project has two prospects gladstone and daisy that lie a kilometre from each other and are host to two major mineralised shear zones that extend southward onto the neighbouring property held by croesus mining nl (crs). croesus have recently developed and mined by open cut methods part of the daisy and gladstone mineralisation. mineable reserves (source crs annual reports) were; daisy 286kt @ 5.73g t au (53koz) mined 2003 4 gladstone 167kt @ 4.17g t au (22koz) mined 2004 5 the gladstone north and daisy prospects were (until recently) thought to be hosted in rocks of the penneshaw formation, which is the structural and stratigraphic footwall to the banded iron formation (bif) of the noganyer formation.",[],"['banded iron formation', 'bif']",[],"['penneshaw formation', 'noganyer formation']","['norseman', 'gladstone', 'gladstone', 'gladstone', 'gladstone']",[],0
a072171_2005 everlasting annual rpt_12941703_59,a072171_2005 everlasting annual rpt_12941703.json,59,the area around the gladstone and daisy tenement was long considered to be part of the penneshaw formation and not prospective for gold mineralisation.,1,['mineralisation'],"archaean lithology the dominant archaean lithology in the gladstone and daisy areas consists of basalt, dolerite and gabbro intercalated with felsic intrusive and volcanics of dacitic granodioritic composition with lesser metasedimentary rocks. the metasediments in the eastern part of the tenement tend to cherty in nature although it is not clear whether they are true cherts or are the product of alteration. the area around the gladstone and daisy tenement was long considered to be part of the penneshaw formation and not prospective for gold mineralisation. the main reasoning behind this was zircon dating which put the age of the penneshaw formation further back in the archaean.",[],"['basalt', 'dolerite', 'gabbro', 'metasedimentary rocks', 'cherts']","['gold', 'zircon']","['penneshaw formation', 'penneshaw formation']","['gladstone', 'gladstone', 'long']","['archaean', 'archaean', 'archaean']",0
a072171_2005 everlasting annual rpt_12941703_66,a072171_2005 everlasting annual rpt_12941703.json,66,the most important structures in terms of mineralisation are north north west trending lineaments.,1,['mineralisation'],"structure the area is dominated by a series of north west; north east; north; north west, and north south structures. these are clearly visible on the magnetic data sets, both ground and aerial. the most important structures in terms of mineralisation are north north west trending lineaments. these structures parallel the princess royal fault to the west of the kinross tenements and the later is a major structure in the norseman goldfield.",[],[],[],[],"['princess royal', 'norseman']",[],0
a072171_2005 everlasting annual rpt_12941703_70,a072171_2005 everlasting annual rpt_12941703.json,70,the known mineralisation in the field area displays the same spatial relationship with north north west structures exhibited elsewhere in the norseman field.,1,['mineralisation'],this structure is interpreted to be one of the major controls on the north royal mine which produced nearly 2 million ounces of gold at bonanza grade. several of these type of structures (nnw) occur in the field area. the known mineralisation in the field area displays the same spatial relationship with north north west structures exhibited elsewhere in the norseman field. the daisy trend sits on an overall north north east trend which mirrors the geochemistry of the deposit however the mineralisation is bounded along this trend by north north west trending structures.,[],[],['gold'],[],"['north royal', 'norseman']",[],0
a072171_2005 everlasting annual rpt_12941703_71,a072171_2005 everlasting annual rpt_12941703.json,71,the daisy trend sits on an overall north north east trend which mirrors the geochemistry of the deposit however the mineralisation is bounded along this trend by north north west trending structures.,1,['mineralisation'],several of these type of structures (nnw) occur in the field area. the known mineralisation in the field area displays the same spatial relationship with north north west structures exhibited elsewhere in the norseman field. the daisy trend sits on an overall north north east trend which mirrors the geochemistry of the deposit however the mineralisation is bounded along this trend by north north west trending structures. the other important feature in the daisy area is the north south trending mylonitic shear zone that appears to cut off the mineralisation at depth.,[],[],[],[],['norseman'],[],0
a072171_2005 everlasting annual rpt_12941703_72,a072171_2005 everlasting annual rpt_12941703.json,72,the other important feature in the daisy area is the north south trending mylonitic shear zone that appears to cut off the mineralisation at depth.,1,['mineralisation'],"the known mineralisation in the field area displays the same spatial relationship with north north west structures exhibited elsewhere in the norseman field. the daisy trend sits on an overall north north east trend which mirrors the geochemistry of the deposit however the mineralisation is bounded along this trend by north north west trending structures. the other important feature in the daisy area is the north south trending mylonitic shear zone that appears to cut off the mineralisation at depth. this zone is up to 250 metres wide in plan and dipping 45 w. this zone contains extensive silicification, potassic alteration consisting mainly of biotite, quartz veining with minor sulphide species (pyrite) but little in the way of gold response.",[],[],"['biotite', 'quartz', 'sulphide', 'pyrite', 'gold']",[],['norseman'],[],0
a072171_2005 everlasting annual rpt_12941703_73,a072171_2005 everlasting annual rpt_12941703.json,73,"this zone is up to 250 metres wide in plan and dipping 45 w. this zone contains extensive silicification, potassic alteration consisting mainly of biotite, quartz veining with minor sulphide species (pyrite) but little in the way of gold response.",1,['extensive'],"the daisy trend sits on an overall north north east trend which mirrors the geochemistry of the deposit however the mineralisation is bounded along this trend by north north west trending structures. the other important feature in the daisy area is the north south trending mylonitic shear zone that appears to cut off the mineralisation at depth. this zone is up to 250 metres wide in plan and dipping 45 w. this zone contains extensive silicification, potassic alteration consisting mainly of biotite, quartz veining with minor sulphide species (pyrite) but little in the way of gold response. this structure may have been a feeder zone but at the time of gold deposition it was not a dilational area, and hence the lack of gold mineralisation.",[],[],"['biotite', 'quartz', 'sulphide', 'pyrite', 'gold', 'gold', 'gold']",[],[],[],0
