event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words_in_sentence,trigger_words_in_event,event_text,ORE_DEPOSIT,ROCK,MINERAL,STRAT,LOCATION,TIMESCALE,event_label,reviewed,Near Miss Event,Key trigger phrase
a071740_c325_97_2005a_11242905_8,a071740_c325_97_2005a_11242905.json,8,access within parts of the range country is only possible on foot.,1,['possible'],['possible'],"this topography in part reflects exhumed devonian topography with reef and platform complexes forming the limestone ranges and basinal shales underlying the black soil plains though generally with significant subsequent carboniferous to cainozoic cover. access to the area is by a variety of station and mine tracks from the great northern highway that runs along the southern edge of the tenement block. access within parts of the range country is only possible on foot. vehicle access on the plains is relatively easy outside the wet season, which occurs from december to march.",[],"['limestone', 'shales']",[],[],[],"['devonian', 'carboniferous', 'cainozoic']",0,True,False,
a071740_c325_97_2005a_11242905_62,a071740_c325_97_2005a_11242905.json,62,"zinc lead mineralisation is widespread and includes the cadjebut, goongewa, kapok, kutarta and kapok west resources.",1,['mineralisation'],['mineralisation'],"dolomitisation is strongly developed within the cadjebut formation, probably reflecting early diagenetic processes. a later crosscutting ferroan dolomite event is related to the cadjebut pinnacle fault system and is interpreted to reflect the first pulse of basinal brines emanating from the fitzroy trough. zinc lead mineralisation is widespread and includes the cadjebut, goongewa, kapok, kutarta and kapok west resources. many other mineralised occurrences are known.",[],[],"['dolomite', 'zinc', 'lead']",['cadjebut formation'],[],[],0,True,False,
a071740_c325_97_2005a_11242905_65,a071740_c325_97_2005a_11242905.json,65,the cadjebut mineralisation is stratabound in the footwall of the cadjebut fault and may reflect direct replacement of evaporites within the cadjebut formation along a structural corridor.,1,['mineralisation'],"['mineralisation', 'mineralisation', 'mineralisation']","many other mineralised occurrences are known. mineralisation shows a strong structural control, but host lithology and dolomitisation are also important controls. the cadjebut mineralisation is stratabound in the footwall of the cadjebut fault and may reflect direct replacement of evaporites within the cadjebut formation along a structural corridor. mineralisation at kapok occurs in breccias and as open space fill within the kapok fault.",[],"['evaporites', 'breccias']",[],['cadjebut formation'],[],[],0,True,False,
a071740_c325_97_2005a_11242905_76,a071740_c325_97_2005a_11242905.json,76,the development of goongewa and kapok was deferred and the decision was taken by bhp that the potential deposit size on the lennard shelf no longer matched their corporate criteria.,1,['potential'],['potential'],"mapping, prospecting, geochemical and geophysical surveys and grid drilling were conducted, which led to the discovery of cadjebut in 1984, goongewa in 1987 and kapok in 1989. 4 teck cominco wa pty ltd 5 the bhp billiton jv brought cadjebut into production in 1987. the development of goongewa and kapok was deferred and the decision was taken by bhp that the potential deposit size on the lennard shelf no longer matched their corporate criteria. bhp and billiton sold their entire interest in the project area to western metals in 1994.",[],[],[],[],[],[],0,True,True,
a071740_c325_97_2005a_11242905_79,a071740_c325_97_2005a_11242905.json,79,"following that, the company completed extensive exploration programmes including geological and regolith mapping, air photo interpretation, rock chip, stream sediment and soil sampling, gravity surveys, an aeromagnetic survey, ip surveys and diamond drilling to test a number of targets along the cadjebut trend.",1,['extensive'],['extensive'],"bhp and billiton sold their entire interest in the project area to western metals in 1994. western metals reviewed and compiled the previous exploration data in 1994 95. following that, the company completed extensive exploration programmes including geological and regolith mapping, air photo interpretation, rock chip, stream sediment and soil sampling, gravity surveys, an aeromagnetic survey, ip surveys and diamond drilling to test a number of targets along the cadjebut trend. this work was successful in extending the known resources at cadjebut, goongewa, kapok and kapok west and definition of a new resource at kutarta.",[],"['regolith', 'sediment']",['diamond'],[],[],[],0,True,True,
a071740_c325_97_2005a_11242905_86,a071740_c325_97_2005a_11242905.json,86,a dipole dipole ip geophysics survey comprising 14 lines for 27.4km was conducted over the outcropping lower units of the emanuel range stratigraphy to follow up on the extents of stratabound gossans and to locate other sub surface stratabound cadjebut style mineralisation.,1,['mineralisation'],['mineralisation'],exploration activities during 2005 focused on infill drilling at the palajippa prospect following up on significant mineralised intersections from the 2004 exploration program. details of the drilling program are tabulated below. a dipole dipole ip geophysics survey comprising 14 lines for 27.4km was conducted over the outcropping lower units of the emanuel range stratigraphy to follow up on the extents of stratabound gossans and to locate other sub surface stratabound cadjebut style mineralisation. a geological mapping exercise over the outcropping lower units of the emanuel range and cadjebut fault zone footwall followed up on the targets identified.,[],['gossans'],[],[],[],[],0,True,False,
a071740_c325_97_2005a_11242905_103,a071740_c325_97_2005a_11242905.json,103,"in the later pillara cycle, extensive clastic conglomerate deposits were shed from fault scarps on the proterozoic basement and spilled across the carbonate platforms and into the inter reef basins.",1,['extensive'],"['extensive', 'extensive']","platform carbonates contain significant silty and organic components in the early part of the cycle but are dominated by clean limestone in the later part, reflecting increasing isolation from sediment sources. marginal slope carbonate deposits, formed basinwards of the reef margins, interfinger and are transitional with mixed clastic carbonate sequences in the intervening basins. in the later pillara cycle, extensive clastic conglomerate deposits were shed from fault scarps on the proterozoic basement and spilled across the carbonate platforms and into the inter reef basins. 2 teck cominco wa pty ltd 3 the nullara cycle reflects decreasing tectonism and is marked by extensive clean platform carbonates and prograding cyanobacteria reef margins during a period of slower subsidence.",[],"['limestone', 'sediment', 'mixed', 'conglomerate']","['carbonates', 'carbonate', 'carbonate', 'carbonate', 'carbonates']",[],[],['proterozoic'],0,True,False,
a071740_c325_97_2005a_11242905_107,a071740_c325_97_2005a_11242905.json,107,uplift in the late carboniferous resulted in extensive karstification of the carbonates and was followed by deposition of fluvioglacial clastics of the grant group in the early permian.,1,['extensive'],['extensive'],the nullara cycle platform and reef have been eroded over much of the south eastern lennard shelf and their original extent is unknown. swamping of the reefs by shallow to deep platform mixed carbonate clastics of the tournaisian fairfield group marks the end of the carbonate cycle. uplift in the late carboniferous resulted in extensive karstification of the carbonates and was followed by deposition of fluvioglacial clastics of the grant group in the early permian. a striated glacial pavement has been exposed at the unconformity surface in the goongewa boxcut.,[],"['unknown', 'mixed']","['carbonate', 'carbonate', 'carbonates']","['fairfield group', 'grant group']",[],"['tournaisian', 'carboniferous', 'permian']",0,True,False,
a071740_c325_97_2005a_11242905_111,a071740_c325_97_2005a_11242905.json,111,depositional sites were controlled by a combination of favourable host lithologies and dilational structural sites.,1,['favourable'],['favourable'],mississippi valley type (mvt) zn pb deposits in the devonian carbonates are believed to have formed in the latest devonian or earliest carboniferous from basinal brines emanating from the fitzroy trough. fluid pathways were controlled by a combination of structural zones and formational aquifers. depositional sites were controlled by a combination of favourable host lithologies and dilational structural sites. playford (1984) has described the geological evolution of the devonian reef complexes.,[],[],['carbonates'],[],[],"['devonian', 'devonian', 'carboniferous', 'devonian']",0,True,False,
a071765_tuckabianna_ann05_9584421_1,a071765_tuckabianna_ann05_9584421.json,1,"in addition to bif hosted mineralisation, gold has been mined from deposits in other iron rich sediments, mafic rocks, porphyry and granitoid.",1,['mineralisation'],['mineralisation'],"most of the gold produced to date at tuckabianna occurs in or adjacent to structurally deformed bif located along the western limb of the kurrajong syncline where it is transected by the tuckabianna shear zone. in addition to bif hosted mineralisation, gold has been mined from deposits in other iron rich sediments, mafic rocks, porphyry and granitoid. a significant portion of gold production has also been achieved from lateritic material and from alluvial wash within a tertiary palaeochannel.",[],"['bif', 'bif', 'sediments', 'mafic rocks', 'porphyry', 'granitoid']","['gold', 'gold', 'iron', 'gold']",[],['kurrajong'],['tertiary'],0,True,False,
