event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words_in_sentence,trigger_words_in_event,event_text,ORE_DEPOSIT,ROCK,MINERAL,STRAT,LOCATION,TIMESCALE,event_label,reviewed,Near Miss Event,Key trigger phrase
a071647_narlarla_ann_tech2005_10581269_6,a071647_narlarla_ann_tech2005_10581269.json,6,the barker river and wombarella creek drain an extensive catchment area of proterozoic rocks forming part of the king leopold range.,1,['extensive'],['extensive'],the narlarla project is centred on the barker gorge cutting the napier range. the old narlarla (devonian) lead zinc silver mine is located on the east side of the gorge on an elevated limestone plateau. the barker river and wombarella creek drain an extensive catchment area of proterozoic rocks forming part of the king leopold range. water flow through the barker gorge during the wet season rains can be very significant.,[],['limestone'],"['lead', 'zinc', 'silver']",[],"['napier range', 'king leopold']","['devonian', 'proterozoic']",0,True,False,
a071647_narlarla_ann_tech2005_10581269_10,a071647_narlarla_ann_tech2005_10581269.json,10,"the frasnian platform facies pillara limestone is locally extensive, although not in the immediate narlarla area, where the frasnian lower napier, and famennian upper napier formation are the dominant limestone units.",1,['extensive'],['extensive'],"in detail the devonian stratigraphy in the mid napier range consists of a basal conglomerate unit (van emmerick conglomerate) forming the van emmerick range to the north west of narlarla. thinner varients of this unit may be persistent throughout the area. the frasnian platform facies pillara limestone is locally extensive, although not in the immediate narlarla area, where the frasnian lower napier, and famennian upper napier formation are the dominant limestone units. both are fore reef and slope facies carbonates containing locally abundant terriginous material in a variably bedded and dolomitised impure limestone.",[],"['conglomerate', 'limestone', 'limestone']",['carbonates'],"['van emmerick conglomerate', 'pillara limestone', 'napier formation']",['napier range'],"['devonian', 'frasnian', 'frasnian', 'famennian']",0,True,False,
a071647_narlarla_ann_tech2005_10581269_15,a071647_narlarla_ann_tech2005_10581269.json,15,lead zinc mineralisation broadly of mississippi valley type (mvt) is present in the area from narlarla to wagon pass located approximately 14 kilometres to the north west.,1,['mineralisation'],"['mineralisation', 'mineralisation']","bedded units dip on average 15 to 30 degrees to the south west, the steeper dips in fore reef slope areas. a northerly change in strike in the barker gorge area in the immediate vicinity of the narlarla lead zinc deposits, has been interpreted as a syn depositional feature associated with active faulting possibly along the present barker river gorge (ringrose 1984). lead zinc mineralisation broadly of mississippi valley type (mvt) is present in the area from narlarla to wagon pass located approximately 14 kilometres to the north west. although no presently economic reserves are known, the area is considered prospective in the light of significant lead zinc mineralisation elsewhere on the lennard shelf.",[],[],"['lead', 'zinc', 'lead', 'zinc', 'lead', 'zinc']",[],['south west'],[],0,True,True,prospective
a071647_narlarla_ann_tech2005_10581269_35,a071647_narlarla_ann_tech2005_10581269.json,35,vehicle access may not be possible at times during the northern australian wet season.,1,['possible'],['possible'],"vehicle access to the old narlarla (devonian) mine site on the limestone plateau immediately east of barker gorge is difficult. access to the project area is generally good during the dry season, although the napier range itself is very rugged. vehicle access may not be possible at times during the northern australian wet season. the data were subsequently subjected to terrain correction modelling by stewart geophysical consultants pty ltd.",[],['limestone'],[],[],['napier range'],['devonian'],0,True,False,
a071647_narlarla_ann_tech2005_10581269_70,a071647_narlarla_ann_tech2005_10581269.json,70,"in order to carry out terrain correction a regional topographic grid with as much detail as possible is required, especially in the vicinity of the gravity survey.",1,['possible'],['possible'],"most of the data are on a fairly regular 200 m grid, with a small section at 20 m spacing, as shown in figure 1, and hence any gridding has to be fine enough to retain the information in this area of more detailed coverage. a 20 m grid of the original bouguer gravity for a density of 2.67 gm cm 3 is shown in figure 2, and also in figure 3 which includes the station locations. in order to carry out terrain correction a regional topographic grid with as much detail as possible is required, especially in the vicinity of the gravity survey. in the absence of any digital elevation grids for the region, data from the shuttle radar topography mission (srtm) was used, as this has proven to be very satisfactory in most areas.",[],[],[],[],[],[],0,True,False,
a071647_narlarla_ann_tech2005_10581269_122,a071647_narlarla_ann_tech2005_10581269.json,122,"these derivative plots enable the local features to be seen more clearly than is possible from figure 10, and indicate that many of the anomalies are not related to topographic features.",1,['possible'],['possible'],"residual grids were also created by subtracting grids smoothed with two dimensional hamming operators from the original grid. in figure 12 the width of the operator is 1000 m, which effectively retains spatial wavelengths up to about 1 km, while in figure 13 the operator page 7 width of 2000 m retains longer wavlengths up to about 2 km. these derivative plots enable the local features to be seen more clearly than is possible from figure 10, and indicate that many of the anomalies are not related to topographic features. page 8 list of digital products (data, grids and images) all grids are in geosoft format (*.grd) and also ermapper format (*.ers header file and binary grid file with no extension).",[],[],[],[],[],[],0,True,False,
a071647_narlarla_ann_tech2005_10581269_139,a071647_narlarla_ann_tech2005_10581269.json,139,"although relatively broadly spaced, the regional gravity survey and subsequent terrain corrections completed during the year has been successful in providing insights into the napier range area, the faulting associated with the canning basin margin (and their possible economic significance), and the structure of the proterozoic lamboo formation metamorphic complex located to the north of the napier range.",1,['possible'],['possible'],"terrain corrections were carried out on the merged data by stewart geophysical consultants pty ltd using shuttle radar topography mission (srtm) elevation data. the srtm grid was locally warped to fit the gravity station elevation data, and various correction calculations run, including for topography and curvature of the earth using a range of bouguer densities. although relatively broadly spaced, the regional gravity survey and subsequent terrain corrections completed during the year has been successful in providing insights into the napier range area, the faulting associated with the canning basin margin (and their possible economic significance), and the structure of the proterozoic lamboo formation metamorphic complex located to the north of the napier range. the density survey has also provided useful insights into the present and fossil river systems both north and south of the napier range, and will make an important contribution to the future exploration of the area.",[],[],[],[],"['napier range', 'canning basin', 'napier range', 'napier range']",['proterozoic'],0,True,False,
a071647_narlarla_ann_tech2005_10581269_154,a071647_narlarla_ann_tech2005_10581269.json,154,some anomalies resulting form this orientation survey will need to be carefully examined in the field for possible economic significance.,1,['possible'],['possible'],"this may be because the area north of the range straddles the basal napier formation and the unconformable contact with the underlying proterozoic metamorphic rocks. this area would be expected to act as a conduit for canning basin dewatering brines, and to therefore have a higher background in interesting metals. some anomalies resulting form this orientation survey will need to be carefully examined in the field for possible economic significance. 5.0 references narlarla (devonian) lead zinc prospect.",[],['metamorphic rocks'],"['lead', 'zinc']",['napier formation'],['canning basin'],"['proterozoic', 'devonian']",0,True,True,economic significance
a071647_narlarla_ann_tech2005_10581269_242,a071647_narlarla_ann_tech2005_10581269.json,242,"although this effort met with little success in the immediate narlarla area, significant lead zinc mineralisation of a similar style to narlarla was located at wagon pass, approximately 14 kilometres to the north west.",1,['mineralisation'],['mineralisation'],"since the cessation of mining in the narlarla area in 1966, the area has been subjected to sporadic exploration campaigns. the first of these was by the shell company of australia metals division who explored the narlarla area as part of a larger lennard shelf exploration program during the period 1978 1982. although this effort met with little success in the immediate narlarla area, significant lead zinc mineralisation of a similar style to narlarla was located at wagon pass, approximately 14 kilometres to the north west. fire hills gold nl undertook a limited campaign of percussion drilling in the immediate vicinity of the narlarla mines in 1989.",[],[],"['lead', 'zinc', 'gold']",[],['australia'],[],0,True,True,
a071647_narlarla_ann_tech2005_10581269_246,a071647_narlarla_ann_tech2005_10581269.json,246,a proposal by the same party to treat stockpiled low grade material did not eventuate.,1,['low grade'],"['low grade', 'potential']","athough some intersections of economic significance were returned, including 2 m @ 25.5% zinc and 14.7% lead, no additional ore positions were considered to have been located by this work. this work was poorly reported, and details of hole locations are unavailable. a proposal by the same party to treat stockpiled low grade material did not eventuate. a review of the exploration potential of the area together with a photogeological study was completed by j.s.",[],[],"['zinc', 'lead']",[],[],[],0,True,True,economic significance
